transaction_id,standard_date,product_id,quantity,unit_price,total_amount,channel
10107,2003-02-24,S10_1678,30.0,95.7,2871.0,In-Store
10121,2003-05-07,S10_1678,34.0,81.35,2765.9,In-Store
10134,2003-07-01,S10_1678,41.0,94.74,3884.34,In-Store
10145,2003-08-25,S10_1678,45.0,83.26,3746.7,In-Store
10159,2003-10-10,S10_1678,49.0,100.0,5205.27,In-Store
10168,2003-10-28,S10_1678,36.0,96.66,3479.76,In-Store
10180,2003-11-11,S10_1678,29.0,86.13,2497.77,In-Store
10188,2003-11-18,S10_1678,48.0,100.0,5512.32,In-Store
10201,2003-12-01,S10_1678,22.0,98.57,2168.54,In-Store
10211,2004-01-15,S10_1678,41.0,100.0,4708.44,In-Store
10223,2004-02-20,S10_1678,37.0,100.0,3965.66,In-Store
10237,2004-04-05,S10_1678,23.0,100.0,2333.12,In-Store
10251,2004-05-18,S10_1678,28.0,100.0,3188.64,In-Store
10263,2004-06-28,S10_1678,34.0,100.0,3676.76,In-Store
10275,2004-07-23,S10_1678,45.0,92.83,4177.35,In-Store
10285,2004-08-27,S10_1678,36.0,100.0,4099.68,In-Store
10299,2004-09-30,S10_1678,23.0,100.0,2597.39,In-Store
10309,2004-10-15,S10_1678,41.0,100.0,4394.38,In-Store
10318,2004-11-02,S10_1678,46.0,94.74,4358.04,In-Store
10329,2004-11-15,S10_1678,42.0,100.0,4396.14,In-Store
10341,2004-11-24,S10_1678,41.0,100.0,7737.93,In-Store
10361,2004-12-17,S10_1678,20.0,72.55,1451.0,In-Store
10375,2005-02-03,S10_1678,21.0,34.91,733.11,In-Store
10388,2005-03-03,S10_1678,42.0,76.36,3207.12,In-Store
10403,2005-04-08,S10_1678,24.0,100.0,2434.56,In-Store
10417,2005-05-13,S10_1678,66.0,100.0,7516.08,In-Store
10103,2003-01-29,S10_1949,26.0,100.0,5404.62,In-Store
10112,2003-03-24,S10_1949,29.0,100.0,7209.11,In-Store
10126,2003-05-28,S10_1949,38.0,100.0,7329.06,In-Store
10140,2003-07-24,S10_1949,37.0,100.0,7374.1,In-Store
10150,2003-09-19,S10_1949,45.0,100.0,10993.5,In-Store
10163,2003-10-20,S10_1949,21.0,100.0,4860.24,In-Store
10174,2003-11-06,S10_1949,34.0,100.0,8014.82,In-Store
10183,2003-11-13,S10_1949,23.0,100.0,5372.57,In-Store
10194,2003-11-25,S10_1949,42.0,100.0,7290.36,In-Store
10206,2003-12-05,S10_1949,47.0,100.0,9064.89,In-Store
10215,2004-01-29,S10_1949,35.0,100.0,6075.3,In-Store
10228,2004-03-10,S10_1949,29.0,100.0,6463.23,In-Store
10245,2004-05-04,S10_1949,34.0,100.0,6120.34,In-Store
10258,2004-06-15,S10_1949,32.0,100.0,7680.64,In-Store
10270,2004-07-19,S10_1949,21.0,100.0,4905.39,In-Store
10280,2004-08-17,S10_1949,34.0,100.0,8014.82,In-Store
10291,2004-09-08,S10_1949,37.0,100.0,7136.19,In-Store
10304,2004-10-11,S10_1949,47.0,100.0,10172.7,In-Store
10312,2004-10-21,S10_1949,48.0,100.0,11623.7,In-Store
10322,2004-11-04,S10_1949,40.0,100.0,6000.4,In-Store
10333,2004-11-18,S10_1949,26.0,100.0,3003.0,In-Store
10347,2004-11-29,S10_1949,30.0,100.0,3944.7,In-Store
10357,2004-12-10,S10_1949,32.0,100.0,5691.84,In-Store
10369,2005-01-20,S10_1949,41.0,100.0,4514.92,In-Store
10381,2005-02-17,S10_1949,36.0,100.0,8254.8,In-Store
10391,2005-03-09,S10_1949,24.0,100.0,2416.56,In-Store
10411,2005-05-01,S10_1949,23.0,100.0,4140.23,In-Store
10424,2005-05-31,S10_1949,50.0,100.0,12001.0,In-Store
10107,2003-02-24,S10_2016,39.0,99.91,3896.49,In-Store
10120,2003-04-29,S10_2016,29.0,96.34,2793.86,In-Store
10134,2003-07-01,S10_2016,27.0,100.0,3307.77,In-Store
10145,2003-08-25,S10_2016,37.0,100.0,5192.95,In-Store
10159,2003-10-10,S10_2016,37.0,100.0,5016.83,In-Store
10168,2003-10-28,S10_2016,27.0,100.0,3660.93,In-Store
10180,2003-11-11,S10_2016,42.0,100.0,4695.6,In-Store
10188,2003-11-18,S10_2016,38.0,96.34,3660.92,In-Store
10201,2003-12-01,S10_2016,24.0,100.0,3025.92,In-Store
10210,2004-01-12,S10_2016,23.0,100.0,3009.09,In-Store
10223,2004-02-20,S10_2016,47.0,100.0,5422.39,In-Store
10236,2004-04-03,S10_2016,22.0,100.0,2852.08,In-Store
10251,2004-05-18,S10_2016,44.0,100.0,5756.52,In-Store
10263,2004-06-28,S10_2016,40.0,100.0,4472.0,In-Store
10275,2004-07-23,S10_2016,22.0,100.0,2904.44,In-Store
10285,2004-08-27,S10_2016,47.0,100.0,6484.59,In-Store
10298,2004-09-27,S10_2016,39.0,96.34,3757.26,In-Store
10308,2004-10-15,S10_2016,34.0,100.0,4043.96,In-Store
10318,2004-11-02,S10_2016,45.0,100.0,5566.5,In-Store
10329,2004-11-15,S10_2016,20.0,100.0,3176.0,In-Store
10339,2004-11-23,S10_2016,40.0,68.92,2756.8,In-Store
10361,2004-12-17,S10_2016,26.0,51.15,1329.9,In-Store
10374,2005-02-02,S10_2016,39.0,100.0,5288.01,In-Store
10388,2005-03-03,S10_2016,50.0,44.51,2225.5,In-Store
10402,2005-04-07,S10_2016,45.0,100.0,5833.8,In-Store
10417,2005-05-13,S10_2016,45.0,100.0,5887.35,In-Store
10107,2003-02-24,S10_4698,27.0,100.0,6065.55,In-Store
10120,2003-04-29,S10_4698,46.0,100.0,9264.86,In-Store
10134,2003-07-01,S10_4698,31.0,100.0,7023.98,In-Store
10145,2003-08-25,S10_4698,33.0,100.0,5176.38,In-Store
10159,2003-10-10,S10_4698,22.0,100.0,4132.7,In-Store
10168,2003-10-28,S10_4698,20.0,100.0,4183.0,In-Store
10180,2003-11-11,S10_4698,41.0,100.0,8892.9,In-Store
10188,2003-11-18,S10_4698,45.0,100.0,8714.7,In-Store
10201,2003-12-01,S10_4698,49.0,100.0,8065.89,In-Store
10210,2004-01-12,S10_4698,34.0,100.0,6123.4,In-Store
10223,2004-02-20,S10_4698,49.0,100.0,9774.03,In-Store
10237,2004-04-05,S10_4698,39.0,100.0,7023.9,In-Store
10251,2004-05-18,S10_4698,43.0,100.0,7078.23,In-Store
10263,2004-06-28,S10_4698,41.0,100.0,8336.94,In-Store
10275,2004-07-23,S10_4698,36.0,100.0,6901.92,In-Store
10285,2004-08-27,S10_4698,27.0,100.0,5438.07,In-Store
10299,2004-09-30,S10_4698,29.0,100.0,6683.34,In-Store
10308,2004-10-15,S10_4698,20.0,100.0,4570.4,In-Store
10318,2004-11-02,S10_4698,37.0,100.0,7667.14,In-Store
10329,2004-11-15,S10_4698,26.0,100.0,5868.2,In-Store
10339,2004-11-23,S10_4698,39.0,76.67,2990.13,In-Store
10362,2005-01-05,S10_4698,22.0,100.0,3664.1,In-Store
10374,2005-02-02,S10_4698,22.0,100.0,3834.38,In-Store
10388,2005-03-03,S10_4698,21.0,86.77,1822.17,In-Store
10403,2005-04-08,S10_4698,66.0,100.0,11886.6,In-Store
10417,2005-05-13,S10_4698,56.0,100.0,9218.16,In-Store
10105,2003-02-11,S10_4757,50.0,100.0,7208.0,In-Store
10119,2003-04-28,S10_4757,46.0,100.0,5004.8,In-Store
10129,2003-06-12,S10_4757,33.0,100.0,4398.24,In-Store
10143,2003-08-10,S10_4757,49.0,100.0,5597.76,In-Store
10155,2003-10-06,S10_4757,32.0,100.0,4526.08,In-Store
